Social_media 	No creo que tú hayas venido a parar al infierno. Tú no has venido, ¿verdad? Tú no has creído, ¿verdad?	Akuxi yuri neukati'erie kename pehe't+a NEKEMA.....Kepai pekatikuyet+ pemuta'uku'eiri..Tsepakutari kauka m+ya'tey+némete..
Social_media 	Pues... una mujer que realmente es viuda y ha quedado en indigencia. Y si un hombre piensa que es fiel a su esposo, ¿no se sentirá animado a cuidarlo?	Kuai...ukaratsi matsi rik+ p+'+imaririk+ akuxi..tawewiekame metseje'+wiyani aix+a pep+reu'erieka yunait+ ak+na tsiere yunait+ aix+a xep+tejeu'erieka.
Social_media 	que consumió mi madre.	k petitemaiku ne iwaru.
Social_media 	Jajaja. Fuera.	Jajaja.Ket+kuta..
Social_media 	Estando	M+k+tat+
Social_media 	Jajajaja y su espejo	Jajajaja ya rik+
Social_media 	Yo soy el perro del lobo jajajaja	Ne matsi baik+ ek+ p+ta ts+ Pe m+ramate jajajaja
Social_media 	De la Soberanía Nacional y de la Forma de Gobierno	Ne kuta Ne mere yuri😂😂😅😅
Social_media 	Buenos días...???	Kuay kuuta ya k+t+ ..!??
Social_media 	Puede ser que Mnnn haya tenido	Mnnnn ashh tsepa kuta😒😒😒
Social_media 	mientras que yo estoy párado aquí	Mets+ ne u ta tatawe t+ma
Social_media 	retirar la jajajaja	Katira jajajaja
Social_media 	De las Partes Integrantes de la Federación y del Territorio Nacional	Jajaj echiwat+kaku😂😂😂😂😂👌👍🎂
Social_media 	que nunca	Ketukuta
Social_media 	mostrando mi amistad..	Tsipep+titemaik+ ne hamika..
Social_media 	¡También el día de su nacimiento...! ¡Tiempo de puericultura.!!	Tatukari matinuiwaxü..! Teiwarixi makateniterüwa..!!
Social_media 	Gracias a todos. Yo se lo agradezco. ...mi mujer siempre ha estado dispuesta a llevarme	Pampariyutsi yunaitü.  ne ti neu yeh+virieka ...neuka uy+vekax+a ne matxi je te+takekai k+
Social_media 	-"Pásenle un cuenco y cuéntenlo en el hocico..." -"pero yo quiero ver que les da igual."-	Ja'i'nepana na iwuanua warata ixate chuizeteana.....ke aku ne iwamua kexejait+ka hatsimariyatari..
Social_media 	¡Un perro, unos ojos saltones! ¡Tus ojos me han visto!	'A tsükü, hüxite kütaxawi!! Kui punetsixeiya!!
Social_media 	que era tan joven como tú.	 ke ti temaik+ a hepa+.
Social_media 	Pueblo de mi pueblo.. ¡Fuera de aquí, ustedes pudieron ser curados!...	'Ukari ne kie kiekatari..! Tukari xenewauka, xeme xepütatsayehütüwa..!  ine
Social_media 	exactamente como quieres que yo lo haga... yo lo comeré...	yemets+ yuripepaine + nepeiye +wa...nepeikwaim+k+...
Social_media 	Ukilla no tenía dinero para	Ukiratsi kepatme tumini pemeu
Social_media 	Buenas tardes	Etsiwa ts+karik+te
Social_media 	Así es la flor.	Á+ tuuturi.  Puwarika
Social_media 	donde quieras que te vea mi madre.	Hakewa pepeyeika nemama metseuxeiyam+k+.
Social_media 	A casa. Vuelvo a los muertos, ya no puedo más aquí.	Ne kie. Uxaà xeikua nepükuyani. warie ena nepukani.
Social_media 	mi cabeza más grande que tu jabalí	nemupau aneme nekemate aixupuane
Social_media 	Panás como un	Panasi wa 'at+
Social_media 	puso mi vida	peti ne tukari
Social_media 	era lo que yo sabía.	p+ ne ma ti maikai.
Social_media 	inclinación... bajó. Ahora estás cantando	Tsinereu eriet+...ukaaa. Airr+a rik+ pep+tiukuika
Social_media 	Amados hermanos, denle un beso a todos	Ne 'iwama. 'aix+ xeketenayutuat+k+kani yunait+
Social_media 	Él llegó a mi habitación y yo quiero dormir aún	KE'AKU Ne kita ne pe t+a akuxi ne jaukum+t+ Ne+ h+k+
Social_media 	Au!... ¡También es mi compañero! No	Au!... Ek+ tsiere ne iwa!  Hawaik+
Social_media 	y la próxima vez que la veas, serás feliz	'ai+ ts+ peureumieni, peta'ameketari patina'+t+am+k+
Social_media 	MI HERMANO DE UN GOLPE	Yuka+ye kukame NE Y+NA NE TA KWANI
Social_media 	motivo por el cual estás tan enfermo que podrías...	Ek+ts+ pe h+k+ kwinie neumareuheh+wa tsepa pemawerani...
Social_media 	PRIMERA HISTORIA	KWINIE NE MA REU YE H+WA
Social_media 	era mi criada en nuestros mares	ike pe ne tsi 'uyuri  tatei haramara
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	METEKAYUIT+ANI T+KARIMA TUUTU PE H+K+
Social_media 	Porque el día de hoy se acerca más y más, el Perú se acerca con más fuerza,	Hik+ tukaritsie paye'axe wa+ka 'iyá yamureyu'iwa. Peru iya matsi wa+ka paye'axe 'ukah+iwat+ múmie
Social_media 	Vayamos a su casa, ahora que los hermanos han de volver, porque Dios nos da su descanso!	Hik+m+ri takie, ta 'iwamarixi tewah+awiyu 'ariri teyuwatsirieyu. Te 'uxipiet+ naime te 'uyuruwat+
Social_media 	había caído ahora y estás parado en mi corazón	wichipenekai hik+tari ne iyarita pepu'ane
Social_media 	Dónde está, pues, aquel sentido de bendición que tuvimos? Pues testigo soy en favor nuestro de que descendiendo, y nosotros somos los únicos que le preguntamos.	Kepa+ tey+me tayeiyari tekuhana?. Ta 'aurie memu'uwa, metexeiya tuiyaripa+. Kari tame taniuki pukayet+r+ka+ye. N+ts+ tame tah+k+ate tepuyuyurie
Social_media 	Ayer al atardecer cantamos juntos	Takai taika tek+ tep+ tek+a tap+a purekei
Social_media 	Pero por alguna circunstancia te fuiste, y aún me dejaste un hombre más grande. Vete lejos, y mata	Titak+ kuta peret+a, haweri nea aneme penetsuku'eiri. Tsepakuta kenemie tewa, muata pekwamieni
Social_media 	Buenas palabras te diré claramente que eres mi espíritu	Wa+ka niuki nekauweiyat+ heitseriemek+ nemerah+awe 'ek+ ne 'iyari pepakat+k+
Social_media 	Al año siguiente, antes de reanudar el viaje, el samaritano dio dos denarios,	Hik+ri tawari xeime witari temayex+t+axime, 'ariri mahula xeime tekatsutuani. 'Aix+ yeme hik+ tepauyu 'anat+aka, temanuti'ax+anik+ titatsie temute'uka x+riya 'ik+ witari mankat+a
Social_media 	dicen que gritaré. Pero ahora morirán. Mis hermanos	xeniu neu hiwam+k+ni. Hik+rix+a xepa+y+m+aka. Ne iwama
Social_media 	Me acerqué a mi casa y me dije: “ ¿Quién está lejos de mí, de quien he salido? No sabemos de dónde hemos salido.	Heiwa nekie ne haye erieme neyuti h+awe, kepai tewa neuyeikat+ aix+ ne iyari kwa ane. Tanait+ts+ teni inierieka tatei yurieneka tekakah+aka
Social_media 	Por lo que se llama... ..el hombre bajó por causa de sus dolores y angustias,	Titari muku titewa.......yurienaka ti uki pu uka'a ayumieme yarreykua te petiyune yeme ku teuteri te puka u'iyari axa te pu,te
Social_media 	Yo ya sé que lo que hace falta en mi boca es comer algo sacrificado a los ídolos.	nenikeyu nekwa nemaiwe, xeniu ta h+k+ate te y+waweme teyu'erie yemekuta pa+kwa'ane. Tsiere hauyewet+ payeika
Social_media 	No sabemos qué clase de palabra es aquella	k+atsi taame temimate ke anet+ niuki Maniere ta hetsiemieme
Social_media 	Claro que sí, pensando, yo soy más fuerte que tú	Heyemek+ts+m+, Tsinekaituka'eriwa, neria 'aki+amana haweri netiy+ane
Social_media 	si no puedes caer de pronto, tú no podrás probarlo	X+ka nixeimieme pekakawe'eweni, ek+ts+ nixeimieme papuyuta'in+atawe
Social_media 	sino más bien.	matsi h+ xeik+a.
Social_media 	Yo soy la madre. Yo soy la más pequeña de todas las semillas, y mis hermanos son los más ricos. Yo no soy la más pequeña de todas las semillas, pero sé que es la más pequeña de todas las plantas, y tengo todo lo que necesito para vivir. Amén.	Ne mama. Hik+ etsikwera nemanut+a, ne iwama chiti'aneneme metepikai. Ne hawaik+ ut+wame hekwame nekahexeiya. Wa+kawa xeik+a neretimani, nek+mana netinaneni, tsiere ki chi'aneme netawewieni muwatemayeteni.++++ nunutsi iyarieya
Social_media 	Abrimos un camino ancho, y llegamos a un lugar llamado Buenos Puertos, y buscamos el lugar donde estábamos reunidos. Les dimos un mensaje,	Xeimetari niuki teputsutuani, xeime huyetsie hik+tari temauni, xeime tsie kiekari temuyuxeiya. Xeik+a wa+ritsika nexeyetuirie ke 'ane hik+ memuyukatsut+ax+ani 'etsikwera mu'ut+katsie
Social_media 	Pero ustedes no hacen más que desafiarme, porque para mí es la vida, y usted es mi corazón.	Ek+ matsi xeik+a pexewi ne hetsie mieme peh+k+, 'ek+ netukari peh+k+, ne iyari pepakat+k+
Social_media 	El hermano, el hermano, el hermano.	Xukuri, +r+, Tsik+ri.
Social_media 	Yo, por mi parte, no tengo nada fuera de mi alcance. Solamente sé de qué me sirve. Saludos de Pablo, de Bernabé y de Pablo,	+a tinaime nekarexeiya weripuri rapi ne 'axe, nepuka'uka wautse. nets+xeik+a nenimaika titaneti'iwanet+ nem+y+ane.>>> Tiy+ +kit+wamete texawa+rit+wa ik+ matimietsie. aix+a xeteu'erieka. h+matsi xeik+a.
Social_media 	Acaso has entrado en el reino de Dios, o has caído muerto? ¡No te preocupes, ni te aflijas! ¿No sabes que tu vida es mucho más larga que la primera?	Hik+ xeniu a tukaritsie. 'ipa+ pauka pemutawenix+. Hik+ chipeleu'elieka pekauyuheiwerieka, 'ena 'aniwema tematsawa+rit+wa. 'Ek+ petimate kename hik+xeik+a yatekait+ka tukari yemie matsi wa+kawa tematseuye+wa
Social_media 	Si tienes un mes libre, dile adiós; si tienes un hijo, dile que venga a mí y que estoy cerca de él, porque mi Dios tiene hambre.	'Ek+ metseri mapemutiyeika x+ka muwapeixeiya, tinetah+awi kename netiuka eniwa. kename ena hulawa neiya+wa. kename ne iyari hakat+k+
Social_media 	Dices que has llamado sol. Ahora ya no merezco llamarme tu padre;	ru xeniu tau pemutater+wax+. hik+ta ne tukari kepetiter+wa huye y+wimetsie nepawe h+matsi xeik+a
Social_media 	y llorando, él sabía que, durante el año, había estado cerca.	Wiki matsuaka, m+ts+ tinimaika kename, witari haye hulatane.
Social_media 	La Wixarika es la víctima de su corazón	Wixarika puh+k+ iya yu yeiyari mutiuweiya
Social_media 	Mientras estoy con ustedes, les ruego que me ayuden. ¿Acaso no quieren que les suelte un vaso de agua viva?	Mana neuyeikani natasetat+ kenexewaneni, m+pa+ matsi nake yapeneti hekat+ xeik+a pemutikatei. kauka m+pa+ meninake, xeik+a 'ukalai pe hayame muwa pekwamieni ya xeik+a meteni+n+awani xawererutsixi.
Social_media 	Porque todo lo que hay bajo el cielo, es decir, los sacerdotes, y los ancianos, ¿acaso no dicen nada? Pero Dios sabe que sí:	Ta het+a tinait+ mutiy+we, mara'akate waniu meteyuter+wat+, wiyemete mewa 'enie. Hik+ ke hait+ paine, titara'iwawat+ paine. xeik+a takaka+yarima menenumaika
Social_media 	Un fantasma en su corazón	 Wixarika yeiyarieya
Social_media 	El fruto de la vid es amor, y si la raíz es amor, también lo es el crecimiento.	nukukeme chipuleu 'erieka. Matsi x+ka ha+t+mek+ peuti '+wa, wat+ petiuti nuiwax+ke pereka 'eriet+yani
Social_media 	De nuestro pueblo	Ta kiekari hetsie miemek+
Social_media 	Miren! El salario que se debe a los obreros que cosecharon sus campos, pero el cual es retenido por las cosechas, sigue clamando, y los gritos por auxilio de los segadores han entrado en los oídos de Dios de los ejércitos.	Wixaritari mepute'uka 'eniwa wa+kawa ti hetsiemieme, kam+ hakaza tsie memuye niere, tsiere kiekaritsie mau hane 'aix+a mekateu tei. hik+tari wa kaka+yari kememute'uwet+ka mekunamiyar+wa
Social_media 	Dondequiera que estés, allí nos separaremos unos de otros: en las orillas del mar.	+ hakewa pemeyeika, tanait+ harakuna tsie tepuye'u temiku 'eirieni tepukay+wawe: ta kie teteimare kwie temanu'uwatsie
Social_media 	Estarías seguro si supieras de dónde vienes	Yeiyari yuripayeika x+ka petimaika hakewa pemeyet+a
Social_media 	Y ahora, ¿qué estás haciendo en tu país?	Ek+ta kepeti yuriene a kiekari hetsie mieme
Social_media 	Nosotros hemos nacido juntos, y nos hemos preparado para partir.	Ta nait+ teputi nunuiwax+ ta anat+kait+, ta hetsie pu ane temuteyuti +kit+ani tenti w+x+anik+.
Social_media 	solamente con nuestro corazón sincero	xeik+a ta yeiyari tekauka h+pat+
Social_media 	uno de los cuales tenía un muro que lo tapaba	xeime seik+a miuki tepanu wiyani
Social_media 	Todo está permitido., excepto nosotros.	tinait+ puti y+we., ta hetsie xeik+a pu'ane.
Social_media 	Sólo tenemos palabras para construir nuestro pueblo.	Xeime xeik+a niuki tepu wewieka ta kiekaritsie mieme k+.
Social_media 	Sin embargo, el complot de ellos contra él llegó a serle conocido a nuestros jueces.	Titarita kara ye 'at+awe ta its+kate, yu niuki t+t+ me 'uta tuaka.
Social_media 	En el suelo, las ovejas se juntan.	Hikuri kwieyari tsie, tayutsi tsixi memuyu ku xexe+ri wa tsie.
Social_media 	Los sacerdotes no son los únicos que han oído. Y, sin embargo, tampoco el sumo sacerdote es uno solo.	Echiwa n+warari te 'enieni. 'ukiratsi mara'akame n+wararieya, ta hepa+, wa hepa+ ni xeit+.
Social_media 	En lo que se refiere al comer carne ofrecida en sacrificio a los ídolos, sabemos que los ídolos no significan nada en el templo de Dios y que los ídolos no son nada.	Ta hetsie mieme wa+kawa pura niere, ta 'iwama wa 'aurie tepu ka 'u'uwa ya 'i heri tumini payuxuawa kwa 'ane. tekwa ta t+t+ maiyani tita te teu weiya, titari tete yu 'iwat+we, xeik+a tepu huni, tekwa 'uka x+r+weni.
Social_media 	si alguien de frente nos decía que seríamos...	X+ka xewit+ ta h+xie kata mienike ke pa+ te 'anenike...
Social_media 	que sería lo único que podría hacer	kauka ya xeik+a te a nenenike
Social_media 	Vamos a educar a nuestro pueblo en la senda correcta.	Matsi h+ tepu te yu '+kit+aka ta kiekari 'aix+a ti hetsiena mieme.
Social_media 	Para los hermanos de esta época los invitamos a comer su carne y sus huesos.	Ta 'iwama hik+ke miemetexi te wa 'inieka yu yeiyari me kwa teu ye h+pani.
Social_media 	a los que lo llamaban, los campesinos, los campesinos.	 te teu ter+war+wat+, hiwata'amete, hikuri h+wemete.
Social_media 	Lo que primero le agrada es la verdad.	 Ke ane kwikari ranakeni meri pai mieme, 'ena 'i xeik+a yuri yuit+arika.
Social_media 	Nuestra carne tiene más fuerza que la comida, y ustedes pueden oírla.	 Tame ta yeiyari matsi wa+ka paye t+r+ ka+ye. Pa 'i xeke neu 'eni.
Social_media 	Pero ¿con qué compararé a esta generación? Se parece a los niños que se sientan a jugar en el campo. Se quejan ante sus amigos:	 ke t+ma 'iwamarixi 'ena 'i 'echiwa ne kwaxiya ne ye tua, ta kiekari tsie mieme k+... kwit+ nerau 'ut+ani, takie kemu reu y+ane, ke mu reu 'ane. Ya xeik+a xeit+ x+ka ya ra 'eriwani, xeik+a 'ut+arika ke ne tsa n+ airieni.
Social_media 	Ojo por mí con espada	xarika+ Ne Nep+ Wixarika
Social_media 	Nuestros antepasados	Temari Waniuki
Social_media 	que podría ser	ke kuta uka
Social_media 	Caperucita me quieres... no tienes gracias	uka penetsinake...waikawa Pampariyutsi
Social_media 	Y a los Wiixátiles les pertenece el reino	Wiixaáritari TUUTÚ +IMARI
Social_media 	antes de que yo haya regresado	ansina ne te ku xata ne amiku
Social_media 	empapando todas las ramas de los árboles y cuidando a los niños para matarlos y destruirlos,	paparutzi yu naitu wixaritari rreyuwiyatu rrewi tzikurimanita uta kulurrimanowe tatei-kie aika wirikuta
Social_media 	Wixarika	Wixarika Kwikarieya
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	TA TEWARI PE MUTAWI WIKI HAP+
Social_media 	MI HERMANO DE UN GOLPE	NUNUTSI HAP+ NETUTSUA
Social_media 	Mi hermano querido	NE 'IIYARI NE MUTA TUA
Social_media 	HRIPA - Reino Unido	H+RIPA - UKA CHIPETITEMAIK+
Social_media 	Cortador de flores	TUUTU PE H+K+
Social_media 	CONSTITUCIÓN POLÍTICA	EK+TS+ PE H+K+TS+
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS GOLPE	AWIET+MEK+ AK+ NE IYARI
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	WIXARIKA KWIKARIEYA - MAXA YUAWI
Social_media 	TERCERA HISTORIA	TUUTU MUTIWA N+T+AMA TA TEWARI
Social_media 	CONSTITUCIÓN POLÍTICA	AK+CHA CHIMUY+T+KA
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	YU KUKURI MUKU 'EEIRI
Social_media 	PRIMERA. HISTORIA	UKA NUNUTSI. TAWEKAME
Social_media 	CONSTITUCIÓN POLÍTICA	WIXARIKA S+YALIEYA
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	KEWA PEPEYEIKA KUNIMIE ME NE MARAUYAH+WA
Social_media 	EE.UU.	USAMA KENA KUMIENI
Social_media 	Mi hermano	NE MU MAWEKAI
Social_media 	MI HERMANO	NE MATSIKA HAKAWET+
Social_media 	MI HERMANO	NE MATSIKA AWATEYA
Social_media 	CONSTITUCIÓN POLÍTICA	KULEMUXA ITUAYARI
Social_media 	CONSTITUCIÓN. CONSTITUCIÓN POLÍTICA	MEK+K+PE. WASA +IMARI
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	TATEWARI IYARIYARI
Social_media 	CONSTITUCIÓN POLÍTICA	ATEWA TS+K+ TSIKATIYUKEWE
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	WIXARIKA H+RISTANAKA TUAPURIE TUYAHANE
Social_media 	CRIMERA HISTORIA	UKA CHIPETITEMAIK+T+
Social_media 	allí los pájaros	eeka wixarika
Social_media 	CONSTITUCIÓN POLÍTICA	HARIYUSI KWE 'AA
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	MARA AKAME KWIKARIEYA
Social_media 	CONSTITUCIÓN POLÍTICA	MARA AKAME N+AWAYARI
Social_media 	Aretes de peyote	wixarika YUIT+ARIKAYARI
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	MERIPAI CHIPENEKAI TAMATSI KARAUYUMARIE
Social_media 	MI HERMANO DE UN GOLPE	K+YE HAP+RI NE KWANAM+RERI
Social_media 	podría ser el primero en tirar aquí! saluda a mi familia!	kentiy+weni tsiet+ xewit meri te u uwa! saludos ne marema!
Social_media 	el perro se está ahogando	ts+ enk+ penka yuwe
Social_media 	El orgullo está en mí	wa+ritsika ne panu wiyani
Social_media 	CON UN GOLPE	KE KE NAN I XEIK+ari
Social_media 	mierda	neuka i axe karik+
Social_media 	puedes decir que estás loca!	aku xeniu penkauka ma!
Social_media 	y él le puede cargar	m+ tat+ le penti y+weni
Social_media 	Se dice que	Aku xeniu
Social_media 	eso es ridículo	tam+ echiwa timariyat+
Social_media 	La mamá es una de las cabritas	Tita ti h+k+ m+k+ tsipu xixieya wa at+
Social_media 	¡Tampoco! Estás hecho un hombre	Tam+! Ukits+ karik+
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.	PAMPARIYUTSI XEYUNAIT+ 'IWAMARIXI XEM+TATSI'UPAREWI. MUCHAS GRACIAS A TOD@S..
Social_media 	La cuerda para que se use..__en__	wixarika kem+tiy+aneni..tawet++ ri
Social_media 	Mira! Ya está aquí mi casa, y vendremos a tomarla, y le daremos una sepultura.	Hiik+ ri x+a, k+m+ ri nekie. 'echiwa nawá tep+'iyu, xakí tep+kwiyu. Nep+xe'inie 'iwamarixi nekie El Buruato... XAKÍ KANIKWAIYAKA.
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS ...	WEIYAK+ XITAKWA MIEME... SEMANA SANTA EN COLONIA ZITAKUA...
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	XEP+KAUYEWEKÁ 'IWAMARIXI XEYUINAIT+
Social_media 	Padres, sentencien con nuestro dormitorio"-	Tamatsi Kauyumarie ta kupuri mat+a meyueniet+*
Social_media 	y ha llorado mientras yo estaba en el campo"-	Ha tsuat+ me t+a ne ne hei yehuakaku*
Social_media 	-"Tú eres su esposo, duende"-	ek+ pa+na, chipeureuerieka*
Social_media 	que no puede ser así	Kauka m+pa+ aneni
Social_media 	La niña. No.	Uka nunutsi. Hawaik+.
Social_media 	¿Qué irá a ser de ella? .. Yo también quiero ganarle.	Kekuta penawanieni rik+ uka apetewa. ..ne tsiere muwa p+netsinake ta iwamua wajets+a.
Social_media 	el cuervo caerá sobre mi suerte, y la cargará. Tengan cuidado.	kuaits+ peukuweni ne walu,kalima la wiyat+.amarima ax+a.
Social_media 	qué es lo que hace mi mujer. Está robando a la niña.	Ke kuta muwa pereyuriene ne ukaratsi. Penawairiene rik+ uka nunutsi.
Social_media 	Estás loco.	Aix+a pep+reu'erieka.
Social_media 	Pues... una mujer que realmente es viuda y ha quedado en indigencia. Y si un hombre piensa que es fiel a su esposo, ¿no se sentirá animado a cuidarlo?	Kuai...ukaratsi matsi rik+ p+'+imaririk+ akuxi..tawewiekame metseje'+wiyani aix+a pep+reu'erieka yunait+ ak+na tsiere yunait+ aix+a xep+tejeu'erieka.
Social_media 	que consumió mi madre.	k petitemaiku ne iwaru.
Social_media 	mostrando mi amistad..	Tsipep+titemaik+ ne hamika..
Social_media 	Tamaulipas.. Los extranjeros de San Blas...	Tatukari matinuiwaxü..! Teiwarixi San Blas makateniterüwa..!!
Social_media 	gracias juntos.	Pampariyutsi yunaitü.
Social_media 	Yo temblaba ...angelina cayó cayó sobre mi hombro como si fuera Navidad	ne ti neu yeh+virieka ...angelina neuka uy+vekax+a ne matxi je te+takekai navidad k+
Social_media 	-"Permítele que vaya y beba un bocado en el hocico..." -"pero ahora yo quiero que ustedes se vayan. Buenos días mi gente de María..que dicen... hola hermanos..."- lo que dice la gente de jesús.	Ja'i'nepana na iwuanua warata ixate chuizeteana.....ke aku ne iwamua kexejait+ka hatsimariyatari..buenos dias mi gente de jesus maria..que dicen....hello my brothers..what the jesus maria people say.
Social_media 	perro, ojos saltones! ¡Tus ojos me ven!	'A ts+k+, h+xite k+taxawi!! Kui punetsixeiya!!
Social_media 	que era tan joven como tú.	 ke ti temaik+ a hepa+.
Social_media 	Pueblo de mi pueblo.. ¡Fuera de aquí, ustedes han sido curados!	'Ukari ne kie kiekatari..! Tukari xenewauka, xeme xepütatsayehütüwa..!
