ID	Source	Change	Target
Maya0049	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:3_SI	Leti'e' áak'ab ku bin tu k'íiwikil koonol
Maya0050	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:1_PL	To'one' áak'ab k bin tu k'íiwikil koonol
Maya0051	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_PL	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol
Maya0045	Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_SI	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'
Maya0046	Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_PL	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'
Maya0047	Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:2_PL	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'
Maya0027	Tene' ajkoonolen	PERSON:3_SI	Leti'e' ajkoonol
Maya0028	Tene' ajkoonolen	PERSON:2_SI	Teche' ajkoonolech
Maya0029	Tene' ajkoonolen	PERSON:1_PL	To'one' ajkoonolo'on
Maya0030	Tene' ajkoonolen	PERSON:2_PL	Te'exe' ajkoonole'ex
Maya0118	Jach wáaj k'a'abéet in bin merkaado	TYPE:NEG	Ma' wáaj jach k'a'abéet in bin merkaadoi'
Maya0583	Mix teen kajakbalen ta wotoch	PERSON:2_PL	Ma' kajakbale'ex tin wotochi'
Maya0584	Mix teen kajakbalen ta wotoch	PERSON:2_SI	Mix teech kajakbalech ta wotoch
Maya0585	Mix teen kajakbalen ta wotoch	PERSON:3_SI	Mix leti' kajakbal ta wotoch
Maya0586	Mix teen kajakbalen ta wotoch	PERSON:1_PL	Mix to'on kajakbalo'on ta wotoch
Maya0587	Mix teen kajakbalen ta wotoch	PERSON:2_PL	Mix te'ex kajakbale'ex ta wotoch
Maya0588	Mix teen kajakbalen ta wotoch	PERSON:3_PL	Mix leti'ob kajakbalo'ob ta wotoch
Maya0648	Ma' ta wu'uyike'ex ooxoli'	TYPE:AFF, SUBTYPE:INT	Te'exe' ka wu'uyike'ex wáaj ooxol
Maya0649	Ma' ta wu'uyike'ex ooxoli'	SUBTYPE:INT	Ma' ta wu'uyike'ex wáaj ooxoli'
Maya0090	Táan in bin koonol merkaado	PERSON:2_SI	Táan a bin koonol merkaado
Maya0091	Táan in bin koonol merkaado	PERSON:3_SI	Táan u bin koonol merkaado
Maya0092	Táan in bin koonol merkaado	PERSON:3_PL	Táan u bino'ob koonol merkaado
Maya0093	Táan in bin koonol merkaado	PERSON:2_PL	Táan a bine'ex koonol merkaado
Maya0094	Táan in bin koonol merkaado	PERSON:1_PL	Táan k bin koonol merkaado
Maya0616	Táan u bin tu kool	TYPE:NEG	Ma' táan u bin ich kooli'
Maya0617	Táan u bin tu kool	SUBTYPE:INT	Táan wáaj u bin ich kool
Maya0645	Táan a báaxale'ex báaxal tu naajil báaxal	SUBTYPE:INT	Táan wáaj a xooke'ex xook tu naajil xook
Maya0483	Ma' tin wilaj u sáastal tin kaajali'	PERSON:2_SI	Ma' ta wilaj u sáastal ta kaajali'
Maya0484	Ma' tin wilaj u sáastal tin kaajali'	PERSON:3_SI	Ma' tu yilaj u sáastal tu kaajali'
Maya0485	Ma' tin wilaj u sáastal tin kaajali'	PERSON:1_PL	Ma' tak ilaj u sáastal k kaajali'
Maya0486	Ma' tin wilaj u sáastal tin kaajali'	PERSON:3_PL	Ma' tu yilo'ob u sáastal tu kaajalo'obi'
Maya0487	Ma' tin wilaj u sáastal tin kaajali'	PERSON:2_PL	Ma' ta wile'ex u sáastal ta kaajale'exi'
Maya0112	Jach k'a'abéet in bin tu k'íiwikil koonol	TYPE:NEG	Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'
Maya0113	Jach k'a'abéet in bin tu k'íiwikil koonol	SUBTYPE:INT	Jach wáaj k'a'abéet in bin k'íiwikil koonol
Maya0407	Yaan in boon tu naajil xook	PERSON:2_SI	Yaan a boon tu naajil xook
Maya0408	Yaan in boon tu naajil xook	PERSON:3_SI	Yaan u boon tu naajil xook
Maya0409	Yaan in boon tu naajil xook	PERSON:1_PL	Yaan k boon tu naajil xook
Maya0410	Yaan in boon tu naajil xook	PERSON:2_PL	Yaan a boone'ex xook tu naajil xook
Maya0411	Yaan in boon tu naajil xook	PERSON:3_PL	Yaan u boono'ob tu naajil xook
Maya0223	Jweenen merkaado	PERSON:3_PL	Jweeno'ob merkaado
Maya0224	Jweenen merkaado	PERSON:2_PL	Jweene'ex merkaado
Maya0523	Ma' in wa'alik u k'aaba'	PERSON:3_SI	Ma' u ya'alik u k'aaba'
Maya0524	Ma' in wa'alik u k'aaba'	PERSON:1_PL	Ma' k a'alik u k'aaba'
Maya0525	Ma' in wa'alik u k'aaba'	PERSON:2_PL	Ma' a wa'alike'ex u k'aaba'
Maya0526	Ma' in wa'alik u k'aaba'	PERSON:3_PL	Ma' u ya'aliko'ob u k'aaba'
Maya0136	To'one' áak'ab k bin tu k'íiwikil koonol	SUBTYPE:INT	To'one' áak'ab wáaj k bin tu k'íiwikil koonol
Maya0137	To'one' áak'ab k bin tu k'íiwikil koonol	TYPE:NEG, SUBTYPE:INT	To'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'
Maya0434	Tene' Yaan ten meyaj biología	PERSON:2_SI	Teche' Yaan tech meyaj biología
Maya0435	Tene' Yaan ten meyaj biología	PERSON:3_SI	Leti'e' yaan meyaj ti' biología
Maya0436	Tene' Yaan ten meyaj biología	PERSON:1_PL	To'onen yaanto'on meyaj biología
Maya0437	Tene' Yaan ten meyaj biología	PERSON:2_PL	Te'exe' yaante'ex meyaj biología
Maya0233	Jbinen áalkab te' taam paarkéeo'	PERSON:3_SI	Leti'e' bin áalkab te' taam paarkéeo'
Maya0234	Jbinen áalkab te' taam paarkéeo'	PERSON:2_PL	Te'exe' bine'ex áalkab te' taam paarkéeo'
Maya0235	Jbinen áalkab te' taam paarkéeo'	PERSON:1_PL	To'one' bino'on áalkab te' taam paarkéeo'
Maya0236	Jbinen áalkab te' taam paarkéeo'	PERSON:3_PL	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'
Maya0204	Teche' ka bin xíimbal tu yotoch	TYPE:NEG	Teche' ma' ta bin xíimbal tu yotochi'
Maya0669	Teche' a k'aaba'e'	SUBTYPE:INT	Bix a k'aaba'
Maya0670	Teche' a k'aaba'e'	TYPE:NEG, ASPECT:NA, PERSON:1_SI	Ma' in k'aaba'i'
Maya0705	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:CUS	Tu'ux k'íiwikil koonol suuk a jóok'ol koonol
Maya0706	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:COM	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol
Maya0707	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:OBL	Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol
Maya0708	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:BEG, TENSE:PAS_SIM	Tu'ux k'íiwikil koonol káaj a jóok'ol koonol
Maya0709	Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:DES	Tu'ux k'íiwikil koonol taak a jóok'ol koonol
Maya0502	Tene' ts'oka'an wáaj in beel	PERSON:2_SI	Teche' ts'oka'an wáaj a beel
Maya0503	Tene' ts'oka'an wáaj in beel	PERSON:3_SI	Leti'e' ts'oka'an wáaj u beel
Maya0504	Tene' ts'oka'an wáaj in beel	PERSON:1_PL	To'one' ts'oka'an wáaj k beel
Maya0505	Tene' ts'oka'an wáaj in beel	PERSON:2_PL	Te'exe' ts'oka'an wáaj a beele'ex
Maya0506	Tene' ts'oka'an wáaj in beel	PERSON:3_PL	Leti'obe' ts'oka'an wáaj u beelo'ob
Maya0692	Leti'obe' ti' u taalo'obi'	TYPE:NEG	Ma' ti' u taalo'obi'
Maya0693	Leti'obe' ti' u taalo'obi'	SUBTYPE:INT	Ti' wáaj a taalo'obi'
Maya0370	Táan in suut tu naajil xook	PERSON:2_SI	Táan a suut tu naajil xook
Maya0371	Táan in suut tu naajil xook	PERSON:3_SI	Táan u suut tu naajil xook
Maya0372	Táan in suut tu naajil xook	PERSON:1_PL	Táan k suut tu naajil xook
Maya0373	Táan in suut tu naajil xook	PERSON:2_PL	Táan a suute'ex xook tu naajil xook
Maya0374	Táan in suut tu naajil xook	PERSON:3_PL	Táan u suuto'ob tu naajil xook
Maya0517	Tene' in k'aaba'e'	ASPECT:HAB, PERSON:2_SI	Teche' a k'aaba'e'
Maya0518	Tene' in k'aaba'e'	ASPECT:HAB, PERSON:3_SI	Leti'e' u k'aaba'e'
Maya0519	Tene' in k'aaba'e'	ASPECT:HAB, PERSON:1_PL	To'one' k k'aaba'e'
Maya0520	Tene' in k'aaba'e'	ASPECT:HAB, PERSON:1_PL	To'one' in k'aaba'one'
Maya0521	Tene' in k'aaba'e'	ASPECT:HAB, PERSON:2_PL	Te'exe' a k'aaba'exe'
Maya0522	Tene' in k'aaba'e'	ASPECT:HAB, PERSON:3_PL	Leti'obe' u k'aaba'obe'
Maya0167	Ma' wáaj jach k'a'abéet in bin merkaadoi'	PERSON:3_SI	Ma' wáaj jach k'a'abéet u bin merkaadoi'
Maya0168	Ma' wáaj jach k'a'abéet in bin merkaadoi'	PERSON:3_PL	Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'
Maya0198	Yaan a bin paarkée	SUBTYPE:INT	Yaan wáaj a bin paarkée
Maya0677	Yaan ti' te'ex 17 ja'abo'ob	TYPE:NEG, SUBTYPE:INT	Yaan wáaj ti' te'ex kex 17 ja'abo'ob
Maya0678	Yaan ti' te'ex 17 ja'abo'ob	TYPE:NEG	Mina'an wáaj ti'ob 17 ja'abo'ob
Maya0352	k'aaynajen tu naajil xook	PERSON:2_SI	K'aaynajech tu naajil xook
Maya0353	k'aaynajen tu naajil xook	PERSON:3_PL	k'aaynajo'ob tu naajil xook
Maya0354	k'aaynajen tu naajil xook	PERSON:2_PL	k'aaynaje'ex tu naajil xook
Maya0609	Yaan wáaj a manik a najil	PERSON:3_SI	Yaan wáaj u manik u najil
Maya0610	Yaan wáaj a manik a najil	TYPE:NEG, SUBTYPE:DEC, PERSON:3_SI	Mix tu manik u najil
Maya0147	Tene' ajkoonolen ichil merkaado	PERSON:3_SI	Leti'e' ajkoonol ichil merkaado
Maya0148	Tene' ajkoonolen ichil merkaado	PERSON:2_SI	Teche' ajkoonolech ichil merkaado
Maya0149	Tene' ajkoonolen ichil merkaado	PERSON:1_PL	To'one' ajkoonolo'on ichil merkaado
Maya0150	Tene' ajkoonolen ichil merkaado	PERSON:2_PL	Te'exe' ajkoonole'ex ichil merkaado
Maya0190	Jayp'éel k'iino'ob ka bin merkaado	PERSON:3_SI	Jayp'éel k'iino'ob ku bin merkaado
Maya0191	Jayp'éel k'iino'ob ka bin merkaado	PERSON:3_PL	Jayp'éel k'iino'ob ku bino'ob merkaado
Maya0192	Jayp'éel k'iino'ob ka bin merkaado	PERSON:2_PL	Jayp'éel k'iino'ob ka bine'ex merkaado
Maya0661	Ts'oka'an wáaj in beel	TYPE:NEG, SUBTYPE:DEC	Ma' ts'oka'an in beeli'
Maya0662	Ts'oka'an wáaj in beel	TYPE:NEG, SUBTYPE:DEC	Tene' ma' ts'oka'an in beeli'
Maya0173	Teche' áak'ab wáaj ka bin merkaado	PERSON:3_SI	Leti'e' áak'ab wáaj ku bin merkaado
Maya0174	Teche' áak'ab wáaj ka bin merkaado	PERSON:1_PL	To'one' áak'ab wáaj kek bin merkaado
Maya0175	Teche' áak'ab wáaj ka bin merkaado	PERSON:2_PL	Te'exe' áak'ab wáaj ka bine'ex merkaado
Maya0665	Múul kajakbal tu yéetel	TYPE:NEG, VOICE:ACT, TRANSITIV:ITR	Ma' múulkajakbal tu yéeteli'
Maya0666	Múul kajakbal tu yéetel	SUBTYPE:INT, ASPECT:HAB, PERSON:1_SI, VOICE:ACT, TRANSITIV:ITR	Múul kajakbal wáaj tu yéetel
Maya0207	Ta konaj a wotoch	SUBTYPE:INT	Ta konaj wáaj a wotoch
Maya0685	Ma' k'aja'anto'on buka'aj k ja'abili'	SUBTYPE:INT	Ma' wáaj k'aja'anto'on buka'aj k ja'abili'
Maya0200	Jsa'atech te' paarkéeo'	SUBTYPE:INT	Jsa'atech wáaj te' paarkéeo'
Maya0201	Jsa'atech te' paarkéeo'	SUBTYPE:INT, ASPECT:NA, ADVTENSE:A	Bix a sa'atal paarkée
Maya0729	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:HAB	Kin manik nikte'ob tu k'íiwikil koonol
Maya0730	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:TER, TENSE:PAS_SIM	Ts'o'ok in manik janal tu k'íiwikil koonol
Maya0731	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:IMM, TENSE:PAS_SIM	Táant in manik ch'ujuk pak'áal tu k'íiwikil koonole'
Maya0732	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:OBL	K'a'abéet in manik suuts' pak'áal tu k'íiwikil koonol
Maya0733	Táan in manik ja'as tu k'íiwikil koonol	ASPECT:COM	Yaan in manik ch'ujuko'ob tu k'íiwikil koonol
Maya0464	Tene' jbúulen	PERSON:2_SI	Teche' jbúulech
Maya0465	Tene' jbúulen	PERSON:3_SI	Leti'e' jbúulij
Maya0466	Tene' jbúulen	PERSON:1_PL	To'one' jbúulo'on
Maya0467	Tene' jbúulen	PERSON:2_PL	Te'exe' jbúule'ex
Maya0720	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG	Táan in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0721	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER, TENSE:PAS_SIM	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0722	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0723	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:INS	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'
Maya0724	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0725	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG, TENSE:PAS_SIM	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0726	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol
Maya0727	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:DES	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol
Maya0728	Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:IMM, TENSE:PAS_SIM	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'
Maya0611	Ta konaj a najil	SUBTYPE:INT	Ta konaj wáaj a najil
Maya0311	Jweenen ich kool	PERSON:2_SI	Jweenech ich kool
Maya0312	Jweenen ich kool	PERSON:3_PL	Jweeno'ob ich kool
Maya0313	Jweenen ich kool	PERSON:2_PL	Jweene'ex ich kool
Maya0323	Tin meentik janal ich kool	PERSON:2_SI	Ta meentik janal ich kool
Maya0324	Tin meentik janal ich kool	PERSON:3_SI	Tu meentik janal ich kool
Maya0325	Tin meentik janal ich kool	PERSON:3_PL	Tu meentiko'ob janal ich kool
Maya0326	Tin meentik janal ich kool	PERSON:2_PL	Ta meentike'ex janal ich kool
Maya0430	Yaan wáaj a báaxal tu naajil báaxal	PERSON:3_SI	Yaan wáaj u báaxal tu naajil báaxal
Maya0431	Yaan wáaj a báaxal tu naajil báaxal	PERSON:1_PL	Yaan wáaj k báaxal tu naajil báaxal
Maya0432	Yaan wáaj a báaxal tu naajil báaxal	PERSON:2_PL	Yaan wáaj a báaxale'ex báaxal tu naajil báaxal
Maya0433	Yaan wáaj a báaxal tu naajil báaxal	PERSON:3_PL	Yaan wáaj u báaxalo'ob tu naajil báaxal
Maya0156	Jach k'a'abéet a bin merkaado	PERSON:1_SI	Jach k'a'abéet in bin merkaado
Maya0157	Jach k'a'abéet a bin merkaado	PERSON:3_SI	Jach k'a'abéet u bin merkaado
Maya0158	Jach k'a'abéet a bin merkaado	PERSON:3_PL	Jach k'a'abéet u bino'ob merkaado
Maya0159	Jach k'a'abéet a bin merkaado	PERSON:2_PL	Jach k'a'abéet a bine'ex merkaado
Maya0686	Tu u yojel u ja'abili'	TYPE:NEG	Ma' u yojel u ja'abili'
Maya0497	Ma' ts'oka'an in beeli'	PERSON:2_SI	Ma' ts'oka'an a beeli'
Maya0498	Ma' ts'oka'an in beeli'	PERSON:3_SI	Ma' ts'oka'an u beeli'
Maya0499	Ma' ts'oka'an in beeli'	PERSON:1_PL	Ma' ts'oka'an k beeli'
Maya0500	Ma' ts'oka'an in beeli'	PERSON:3_PL	Ma' ts'oka'an a beele'exi'
Maya0501	Ma' ts'oka'an in beeli'	PERSON:3_PL	Ma' ts'oka'an u beelo'obi'
Maya0559	Tin núukaj buka'aj in ja'abil	PERSON:2_SI	Ta núukaj buka'aj a ja'abil
Maya0560	Tin núukaj buka'aj in ja'abil	PERSON:3_SI	Tu núukaj buka'aj u ja'abil
Maya0561	Tin núukaj buka'aj in ja'abil	PERSON:1_PL	Tek núukaj buka'aj k ja'abil
Maya0562	Tin núukaj buka'aj in ja'abil	PERSON:2_PL	Ta núukaje'ex buka'aj a ja'abile'ex
Maya0563	Tin núukaj buka'aj in ja'abil	PERSON:3_PL	Tu núukaj buka'aj u ja'abilo'ob
Maya0205	Ta manaj a wotoch	SUBTYPE:INT	Ta manaj wáaj a wotoch
Maya0206	Ta manaj a wotoch	TYPE:NEG, PERSON:1_SI	Ma' tin manaj in wotochi'
Maya0254	Tene' kin bin xíimbal ta wotoch	PERSON:3_SI	Leti'e' ku bin xíimbal ta wotoch
Maya0255	Tene' kin bin xíimbal ta wotoch	PERSON:3_SI	Leti'e' ku bin xíimbal ta wotoch
Maya0256	Tene' kin bin xíimbal ta wotoch	PERSON:1_PL	To'one' kek bin xíimbal ta wotoch
Maya0742	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:IMM, TENSE:PAS_SIM	Táant in wilikech te' tu kúuchil báaxalo'
Maya0743	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:COM	Yaan in wilikech te' tu kúuchil báaxalo'
Maya0346	kin ts'íib tu naajil xook	PERSON:2_SI	ka ts'íib tu naajil xook
Maya0347	kin ts'íib tu naajil xook	PERSON:2_PL	ka ts'íibe'ex tu naajil xook
Maya0348	kin ts'íib tu naajil xook	PERSON:3_PL	ku ts'íibo'ob tu naajil xook
Maya0412	Yaan in xook tu naajil xook	PERSON:2_SI	Yaan a xook tu naajil xook
Maya0413	Yaan in xook tu naajil xook	PERSON:3_SI	Yaan u xook tu naajil xook
Maya0414	Yaan in xook tu naajil xook	PERSON:1_PL	Yaan k xook tu naajil xook
Maya0415	Yaan in xook tu naajil xook	PERSON:2_PL	Yaan a xooke'ex xook tu naajil xook
Maya0416	Yaan in xook tu naajil xook	PERSON:3_PL	Yaan u xooko'ob tu naajil xook
Maya0145	Kin bin koonol tu k'íiwikil koonol	ASPECT:TER, TENSE:PAS_SIM	Ts'o'ok in bin koonol tu k'íiwikil koonol
Maya0146	Kin bin koonol tu k'íiwikil koonol	ASPECT:INS	Je'el in bin koonol tu k'íiwikil koonole'
Maya0209	Táan in suut koonol merkaado	ASPECT:COM	Yaan in suut koonol merkaado
Maya0210	Táan in suut koonol merkaado	ASPECT:DES	Taak in suut koonol merkaado
Maya0211	Táan in suut koonol merkaado	ASPECT:OBL	K'a'abéet in suut koonol merkaado
Maya0212	Táan in suut koonol merkaado	ASPECT:HAB	Kin in suut koonol merkaado
Maya0213	Táan in suut koonol merkaado	ASPECT:CUS	Suuk in suut koonol merkaado
Maya0214	Táan in suut koonol merkaado	ASPECT:TER, TENSE:PAS_SIM	Ts'o'ok in suut koonol merkaado
Maya0215	Táan in suut koonol merkaado	ASPECT:BEG, TENSE:PAS_SIM	Káaj in suut koonol merkaado
Maya0216	Táan in suut koonol merkaado	ASPECT:IMM, TENSE:PAS_SIM	Táant in suut koonol merkaadoe'
Maya0574	Tene' ti' kajakbalen tu yotoche'	PERSON:2_SI	Teche' ti' kajakbalech tu yotoche'
Maya0575	Tene' ti' kajakbalen tu yotoche'	PERSON:3_SI	Leti'e' ti' kajakbal tu yotoche'
Maya0576	Tene' ti' kajakbalen tu yotoche'	PERSON:1_PL	To'one' ti' kajakbalo'on tu yotoche'
Maya0577	Tene' ti' kajakbalen tu yotoche'	PERSON:2_PL	Te'exe' ti' kajakbale'ex tu yotoche'
Maya0578	Tene' ti' kajakbalen tu yotoche'	PERSON:3_PL	Leti'obe' ti' kajakbalo'ob tu yotoche'
Maya0362	Tene' Yaan ten xook ti' español	PERSON:2_SI	Teche' Yaan tech xook ti' español
Maya0363	Tene' Yaan ten xook ti' español	PERSON:3_SI	Leti'e' yaan xook ti' español
Maya0364	Tene' Yaan ten xook ti' español	PERSON:1_PL	To'onen yaanto'on xook ti' español
Maya0365	Tene' Yaan ten xook ti' español	PERSON:2_PL	Te'exe' yaante'ex xook ti' español
Maya0641	ma'alob jk'a'amiken tu naajil xook	TYPE:NEG	ma' ma'alob jk'a'amiken naajil xooki'
Maya0739	Máax yéetel ka bin koonol tu kúuchil báaxal	ASPECT:TER, TENSE:PAS_SIM	Máax yéetel ts'o'ok a bin koonol tu kúuchil báaxal
Maya0740	Máax yéetel ka bin koonol tu kúuchil báaxal	ASPECT:INS	Máax yéetel je'el a bin koonol tu kúuchil báaxale'
